"shelf","shelfplace","isbn","notes","isbnnormalized"
"4B",1,674116739,,"0000674116739"
"4B",1,9780674116733,,"9780674116733"
"4B",2,9789622174580,,"9789622174580"
"4B",2,9622174582,,"0009622174582"
"4B",4,3886093271,,"0003886093271"
"4B",5,8120806166,,"0008120806166"
"4B",6,"388609135X",,"388609135X"
"4B",8,9780521255233,,"9780521255233"
"4B",8,521255236,"leading zero ","0000521255236"
"4B",9,9789676530752,,"9789676530752"
"4B",9,9676530751,,"0009676530751"
"4B",11,9780714124643,,"9780714124643"
"4B",12,9748496317,,"0009748496317"
"4B",12,9789748496313,,"9789748496313"
"4B",14,3763020039,,"0003763020039"
"4B",15,9780615488820,,"9780615488820"
"4B",17,500277125,"leading zero ","0000500277125"
"4B",17,9780500277126,,"9780500277126"
"4B",18,1870076141,,"0001870076141"
"4B",18,9781870076142,,"9781870076142"
"4B",19,9780714128252,,"9780714128252"
"4B",20,9780714150796,,"9780714150796"
"4B",21,3886091368,,"0003886091368"
"4B",22,9780192842077,,"9780192842077"
"4B",22,192842072,"leading zero ","0000192842072"
"4B",23,684180405,"leading zero ","0000684180405"
"4B",24,878463283,"leading zero ","0000878463283"
"4B",25,9781846032738,,"9781846032738"
"4B",26,2711841073,,"0002711841073"
"4B",26,9782711841073,,"9782711841073"
"4B",27,9780300155662,,"9780300155662"
"4B",28,1850437467,,"0001850437467"
"4B",28,9781850437468,,"9781850437468"
"4B",29,2080103598,,"0002080103598"
"4B",29,9782080103598,,"9782080103598"
"4B",30,9780892362202,,"9780892362202"
"4B",30,892362200,"leading zero ","0000892362200"
"4B",31,9782711856268,,"9782711856268"
"4C",1,"029597253X",,"029597253X"
"4C",2,965427048,"leading zero ","0000965427048"
"4C",3,295970871,"leading zero ","0000295970871"
"4C",4,870990845,"leading zero ","0000870990845"
"4C",5,691040206,"leading zero","0000691040206"
"4C",6,9782918207016,,"9782918207016"
"4C",8,824820029,"leading zero ","0000824820029"
"4C",8,9760824820024,,"9760824820024"
"4C",9,906610036,"leading zero ","0000906610036"
"4C",11,7501001537,,"0007501001537"
"4C",11,9787501001538,,"9787501001538"
"4C",12,691037582,"leading zero ","0000691037582"
"4C",12,9780691037585,,"9780691037585"
"4C",14,3952091715,,"0003952091715"
"4C",15,195630947,"leading zero ","0000195630947"
"4C",16,870111566,"leading zero ","0000870111566"
"4C",17,"962331003x",,"962331003x"
"4C",18,874742676,"leading zero ","0000874742676"
"4C",19,"390707078X",,"390707078X"
"4C",20,9004039384,,"0009004039384"
"4C",20,9004039392,,"0009004039392"
"4C",21,9004039384,,"0009004039384"
"4C",21,9004039406,,"0009004039406"
"4C",22,415320909,"leading zero ","0000415320909"
"4C",22,9780415320900,,"9780415320900"
"4C",24,9622012795,,"0009622012795"
"4B",3,3805311877,,"0003805311877"
"4B",7,877277052,,"0000877277052"
"4B",10,9813002700,,"0009813002700"
"4B",13,9780810928534,,"9780810928534"
"4B",13,810928531,"leading zero ","0000810928531"
"4B",16,9780521565059,,"9780521565059"
"4B",16,521565057,"leading zero ","0000521565057"
"5C",7,2708405861,,"0002708405861"
"5C",7,9782708405868,,"9782708405868"
"5C",10,812278569,"leading zero ","0000812278569"
"5C",13,870993267,"leading zero ","0000870993267"
"5C",23,877277001,"leading zero ","0000877277001"
"Cart-a",1,9782711857319,,
"Cart-a",2,9782754106207,,
"Cart-a",3,1588390721,,
"Cart-a",4,9782842782177,,
"Cart-a",5,9782855394237,,
"Cart-a",6,2855394236,,
"Cart-a",7,"088029177x",,
"Cart-a",8,9785938930506,,
"Cart-a",9,9781891771255,,
"Cart-a",10,9780910407397,,
"Cart-a",11,9780939117673,,
"Cart-a",12,9780911886535,,
"Cart-a",13,299970701,,
"Cart-a",15,810929384,,
"Cart-a",16,9789748225302,,
"Cart-a",18,9780761816713,,
"Cart-a",19,9780140443486,,
"Cart-a",20,9780140443066,,
"Cart-a",21,9780192835765,,
"Cart-a",22,942614186,,
"Cart-a",23,9780195659122,,
"Cart-a",24,8190014900,,
"Cart-a",25,773478531,,
"Cart-a",26,2720010316,,
"Cart-a",27,9780862671501,,
"Cart-a",28,9782070532551,,
"Cart-a",29,"376302011x",,
"Cart-a",30,8121507235,,
"Cart-a",31,9783869221878,,
"Cart-a",32,9780520224667,,
"Cart-a",33,932216285,,
"Cart-a",35,7800070433,,
"Cart-a",38,"7226qq4976",,
"Cart-a",39,7226004976,,
"4A",1,3201016780,,
"4A",3,9780553370904,,
"4A",4,877733546,,
"4A",6,9782711823642,,
"4A",7,2855397359,,
"4A",8,9781851774296,,
"4A",9,7560710077,,
"4A",10,9787228032488,,
"4A",11,9782220026299,,
"4A",12,9780714121802,,
"4A",13,9780813380650,,
"4A",14,9780810981034,,
"4A",15,"067040697x",,
"4A",16,9781904832164,,
"4A",18,9780907849520,,
"4A",19,9780521533386,,
"4A",20,9789748225302,,
"4A",21,9748434575,,
"4A",22,500690014,,
"4A",24,9780811800402,,
"4A",25,3761106262,,
"4A",26,9782842782177,,
"4A",27,520050614,,
"4A",28,9780252071218,,
"4A",29,810906813,,
"4A",31,9781570621864,,
"4A",33,9780500275160,,
"4A",34,9782080113603,,
"4A",36,"029596815x",,
"4A",37,934686505,,
"4A",38,674795903,,
"4A",41,9781588861146,,
"4A",43,9780860787662,,
"4A",44,860788849,,
